DULICA;ULICA;PSC;DPOSTA;POSTA;POZNAMKA;OBCE
Prvá priečna ul.;Prvá priečna ul.;945 01;Komárno 1;Komárno 1;;Komárno
Ul. priateľstva;Ul. priateľstva;934 01;Levice 1;Levice 1;;Levice
Brezovec;Brezovec;031 05;Liptovský Mikuláš 5;Liptovský Mikuláš 5;;Liptovský Mikuláš
Stojšova;Stojšova;031 04;Liptovský Mikuláš 4;Liptovský Mikuláš 4;;Liptovský Mikuláš
Ulica A. E. Timku;Ulica A. E. Timku;984 01;Lučenec 1;Lučenec 1;;Lučenec
Ulica cintorínska;Ulica cintorínska;984 01;Lučenec 1;Lučenec 1;;Lučenec
Ulica Jánošikova;Ulica Jánošikova;984 01;Lučenec 1;Lučenec 1;;Lučenec
Ulica nábrežná;Ulica nábrežná;984 01;Lučenec 1;Lučenec 1;;Lučenec
Ulica potočná;Ulica potočná;984 01;Lučenec 1;Lučenec 1;;Lučenec
Ulica Samuela Mikovíniho;Ulica Samuela Mikovíniho;984 01;Lučenec 1;Lučenec 1;;Lučenec
Ulica tehelná;Ulica tehelná;984 01;Lučenec 1;Lučenec 1;;Lučenec
Cez panské;Cez panské;949 01;Nitra 1;Nitra 1;;Nitra
Drieňová;Drieňová;949 01;Nitra 1;Nitra 1;;Nitra
Nad Hrabinou;Nad Hrabinou;949 01;Nitra 1;Nitra 1;;Nitra
Repíková ulica;Repíková ulica;949 01;Nitra 1;Nitra 1;;Nitra
Slnečnicová ulica;Slnečnicová ulica;949 01;Nitra 1;Nitra 1;;Nitra
Lúčna;Lúčna;905 01;Senica 1;Senica 1;;Senica
